word,Seed,form,definition,definition_2,etymology,example,origin
pulchritude,Exotic,noun,The quality of being physically beautiful or attractive (specifically about physical appearance),,"From Latin pulchritudo, from pulcher ‘beautiful’.",The pulchritude of the landscape left us speechless.,Latin
recalcitrant,Exotic,adjective,Showing strong resistance to authority or conventional behavior,,"From Latin recalcitrant-, ‘kicking out with the heels’.",The recalcitrant student refused to comply with the rules.,Latin
antediluvian,Exotic,adjective,Ridiculously old-fashioned; of or belonging to the time before the biblical Flood.,So old or old-fashioned as to appear to belong to a former age,From Latin ante ‘before’ + diluvium ‘flood’.,He still uses antediluvian methods in his research.,Latin
obsequious,Exotic,adjective,Obedient or attentive to an excessive or servile degree.,,"From Latin obsequiosus, from obsequium ‘compliance’.",The waiter's obsequious manner was a bit much for the guests.,Latin
obdurate,Exotic,adjective,Stubbornly refusing to change one's opinion or course of action.,"Impervious to persuasion, especially to moral persuasion","From Latin obduratus, past participle of obdurare ‘harden’.","He remained obdurate, refusing to alter his decision.",Latin
perspicacity,Exotic,noun,A ready insight into and understanding of things.,,"From Latin perspicax, perspicac- ‘seeing clearly’.",Her perspicacious mind quickly grasped the complexities of the problem.,Latin
impecunious,Exotic,adjective,Chronically lacking in money; habitually without funds,,"From Latin impecuniosus, from in- ‘not’ + pecunia ‘money’.",He was a gifted but impecunious painter.,Latin
unctuous,Exotic,adjective,(Of a person) excessively or ingratiatingly flattering; oily.,Having a greasy or soapy feel (when referring to substances),"From late Latin unctuosus, from unctus ‘anointing’.",He seemed unctuous and insincere.,Latin
legerdemain,Exotic,noun,Skillful use of one's hands when performing conjuring tricks.,Clever trickery or deceptive maneuvering in politics or business,From French léger de main ‘light of hand’.,The magician's legerdemain amazed the audience.,French
aporia,Exotic, noun      ,"An irresolvable internal contradiction or logical disjunction in a text, argument, or theory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",,"From Greek aporia ""difficulty, perplexity"", from aporos ""impassable"", from a- ""without"" + poros ""passage"".",,Greek
bilious,Exotic,adjective,"spiteful, bad-tempered",Affected by or associated with nausea or vomiting,"From Latin biliosus, from bilis ""bile"". Originally referred to an excess of bile, thought to cause irritability.",,Latin
lugubrious,Exotic,adjective,Looking or sounding sad and dismal.,Characterized by excessive or exaggerated sadness,"From Latin lugubris ""mournful"", from lugere ""to mourn"".",,Latin
patois,Exotic,noun,A regional dialect of a language; jargon or cant.,The specialized vocabulary of a particular profession or group,"From French, literally ""rough speech"", from Old French patoier ""to handle clumsily"", from pate ""paw"".",,French
asperity,Exotic,noun,Harshness of tone or manner; severity of character or attitude.,Roughness of manner; harshness of temper,"From Latin asperitas, from asper ""rough"".",,Latin
elide,Exotic,verb,Omit (a sound or syllable) when speaking; join together; merge.,To omit or strike out (a sound or syllable) in pronunciation,"From Latin elidere ""to strike out"", from e- ""out"" + laedere ""to strike"".",,Latin
recondite,Exotic,adjective,(of a subject or knowledge) little known,,"From Latin reconditus ""hidden, concealed"", past participle of recondere, from re- ""back"" + condere ""to put together"".",,Latin
avuncular,Exotic,adjective,kind and friendly toward a younger or less experienced person.,,"From Latin avunculus ""maternal uncle"", diminutive of avus ""grandfather"".",,Latin
assiduous,Exotic,adjective,"Showing great care, attention, and effort.",,"From Latin assiduus ""constant"", from assidere ""to sit down to"", from ad- ""to"" + sedere ""to sit"".",,Latin
pugnacious,Exotic,adjective,"Eager or quick to argue, quarrel, or fight.",,"From Latin pugnax, pugnac- ""combative"", from pugnare ""to fight"".",,Latin
puerile,Exotic,adjective,Childishly silly and trivial.,,"From Latin puerilis, from puer ""child"".",,Latin
potentate,Exotic,noun,"A monarch or ruler, especially an autocratic one.",,"From late Latin potentatus ""political power"", from Latin potens, potent- ""powerful"".",,Latin
inchoate,Exotic,adjective,Just begun and so not fully formed or developed; rudimentary.,,"From Latin inchoatus, past participle of inchoare ""to begin"".",,Latin
execrable,Exotic,adjective,Extremely bad or unpleasant.,,"From Latin execrabilis, from execrari ""to curse"", from ex- ""out"" + sacrare ""to consecrate"".",,Latin
diaphanous,Exotic,adjective,"(Especially of fabric) light, delicate, and translucent.",,"From medieval Latin diaphanus, from Greek diaphanēs ""transparent"", from dia ""through"" + phainein ""to show"".",,Greek
indolent,Exotic,adjective,Wanting to avoid activity or exertion; lazy.,,"From Latin indolent-, from in- ""not"" + dolere ""suffer pain"".",,Latin
salacious,Exotic,adjective,Having or conveying undue or inappropriate interest in sexual matters.,,"From Latin salax, salac- ""lustful"", from salire ""to leap"".",,Latin
genuflect,Exotic,verb,"Lower one's body briefly by bending one knee to the ground, typically in worship or as a sign of respect; show deference or servility.",,"From Latin genuflectere, from genu ""knee"" + flectere ""to bend"".",,Latin
lachrymose,Exotic,adjective,Tearful or given to weeping; inducing tears.,,"From Latin lacrimosus, from lacrima ""tear"".",,Latin
inveigle,Exotic,verb,Persuade (someone) to do something by means of deception or flattery.,,"From French aveugler ""to blind"", from Old French, from a- (from Latin ad- ""to"") + aveugle ""blind"".",,French
truancy,Exotic,noun,The action of staying away from school without good reason; absenteeism.,,"From truant, from Old French truant ""beggar, rogue"", probably from Celtic.",,French
lacuna,Exotic,noun,An unfilled space or interval; a gap; a missing portion in a book or manuscript.,,"From Latin lacuna ""pool, gap"", from lacus ""pool"".",,Latin
pugilist,Exotic,noun,"A boxer, especially a professional one.",,"From Latin pugil ""boxer"", related to pugnus ""fist"".",,Latin
palimpsest,Exotic,noun,A manuscript or piece of writing material on which the original writing has been effaced to make room for later writing but of which traces remain.,,"From Greek palimpsēstos, from palin ""again"" + psēstos ""rubbed smooth"".",,Greek
anathema,Exotic,noun,"Something or someone that one vehemently dislikes; a formal curse by a pope or a council of the Church, excommunicating a person or denouncing a doctrine.",,"From Greek anathema ""a thing devoted"", in later Greek ""a thing accursed"".",,Greek
parochial,Exotic,adjective,Having a limited or narrow outlook or scope; relating to a church parish.,,"From Late Latin parochialis, from parochia ""parish"", from Greek paroikia ""dwelling beside or near"".",,Greek
adventitious,Exotic,adjective,Coming from outside; not native; associated by chance rather than design.,,"From Latin adventicius ""coming from abroad"", from adventus, past participle of advenire ""to come to"".",,Latin
