word,form,definition,etymology,example,origin
quixotic,adjective,Exceedingly idealistic; unrealistic and impractical.,"From Don Quixote, the hero of a romance by Cervantes, noted for his idealism and chivalrous but impractical behavior.",His plans to build a utopia were as quixotic as they were ambitious.,Other
laconic,adjective,Using very few words.,"From Greek Lakōnikos, referring to the Spartans, who were known for their terse speech.",Her laconic reply left everyone in the room puzzled.,Greek
obstreperous,adjective,Noisy and difficult to control.,"From Latin obstreperus, from ob- ‘against’ + strepere ‘make a noise’.",The obstreperous crowd refused to settle down despite repeated warnings.,Latin
circumscribe,verb,Restrict (something) within limits.,"From Latin circumscribere, from circum ‘around’ + scribere ‘write’.",The rules circumscribe the powers of the committee.,Latin
pulchritude,noun,Beauty.,"From Latin pulchritudo, from pulcher ‘beautiful’.",The pulchritude of the landscape left us speechless.,Latin
ephemeral,adjective,Lasting for a very short time.,From Greek ephēmeros ‘lasting only a day’.,Fame in the world of pop music can be ephemeral.,Greek
obfuscate,verb,"To render obscure, unclear, or unintelligible.","From Latin obfuscat-, ‘darkened’, from the verb obfuscare.",The report was written in a way that would obfuscate the real issues.,Latin
sagacious,adjective,Having or showing keen mental discernment and good judgment; wise or shrewd.,"From Latin sagax, sagac- ‘wise’.",The sagacious leader guided the country through difficult times.,Latin
mellifluous,adjective,(Of a voice or words) sweet or musical; pleasant to hear.,"From Latin mellifluus, from mel ‘honey’ + fluere ‘to flow’.",She spoke in a mellifluous voice that captivated the audience.,Latin
recalcitrant,adjective,Having an obstinately uncooperative attitude toward authority or discipline.,"From Latin recalcitrant-, ‘kicking out with the heels’.",The recalcitrant student refused to comply with the rules.,Latin
ineffable,adjective,Too great or extreme to be expressed or described in words.,"From Latin ineffabilis, from in- ‘not’ + effabilis ‘able to be expressed’.",The beauty of the sunset was ineffable.,Latin
soporific,adjective,Tending to induce drowsiness or sleep.,"From French soporifique, from Latin sopor ‘sleep’.",The professor's soporific lecture made it hard to stay awake.,Latin
verisimilitude,noun,The appearance of being true or real.,"From Latin verisimilitudo, from verus ‘true’ + similis ‘like’.",The novel's verisimilitude made the story all the more compelling.,Latin
antediluvian,adjective,Ridiculously old-fashioned; of or belonging to the time before the biblical Flood.,From Latin ante ‘before’ + diluvium ‘flood’.,He still uses antediluvian methods in his research.,Latin
perspicacious,adjective,Having a ready insight into and understanding of things.,"From Latin perspicax, perspicac- ‘seeing clearly’.",Her perspicacious mind quickly grasped the complexities of the problem.,Latin
vociferous,adjective,Vehement or clamorous.,"From Latin vociferari, from vox ‘voice’ + ferre ‘carry’.",The vociferous crowd cheered for their team.,Latin
equanimity,noun,"Mental calmness, composure, and evenness of temper, especially in a difficult situation.","From Latin aequanimitas, from aequus ‘equal’ + animus ‘mind’.",She accepted the bad news with remarkable equanimity.,Latin
obsequious,adjective,Obedient or attentive to an excessive or servile degree.,"From Latin obsequiosus, from obsequium ‘compliance’.",The waiter's obsequious manner was a bit much for the guests.,Latin
pellucid,adjective,Translucently clear.,"From Latin pellucidus, from per- ‘through’ + lucidus ‘clear’.",The pellucid waters of the lake reflected the sky perfectly.,Latin
sycophant,noun,A person who acts obsequiously toward someone important in order to gain advantage.,"From Greek sukophantes, originally ‘informer’.",The office sycophant was always flattering the boss.,Greek
taciturn,adjective,Reserved or uncommunicative in speech; saying little.,"From Latin taciturnus, from tacere ‘be silent’.","He was a taciturn man, but his actions spoke volumes.",Latin
