word,Seed,form,definition,definition_2,etymology,example,origin
abrogate,Exotic,verb,"To repeal or do away with (a law, right, or formal agreement).",To abolish by authoritative action,"From Latin abrogat-, from abrogare ‘repeal’.",The treaty was abrogated in 1929.,Latin
abstemious,Exotic, adjective ," Not self-indulgent, especially when eating or drinking                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",Marked by restraint especially in the consumption of food or alcohol.,"From Latin abstemius, from ab- ""away from"" + stem of temetum ""intoxicating drink"".",His abstemious lifestyle included neither alcohol nor rich foods.,Latin
acerbic,Rare, adjective , (especially of a comment or style of speaking) sharp and forthright                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Sharp and forthright.,"From Latin acerbus ""bitter, harsh, sour"", from acer ""sharp"".",The critic was known for acerbic reviews that spared no one's feelings.,Latin
acrid,Rare,,Having an irritatingly strong and unpleasant taste or smell.,,,,
adamant,Rare,adjective,Refusing to be persuaded or to change one's mind.,,From Greek adamas ‘untameable’.,He is adamant that he is not going to resign.,Greek
admonish,Rare,verb,Warn or reprimand someone firmly.,To warn or reprimand someone firmly.,"From Latin admonere ""to remind, warn"", from ad- ""to"" + monere ""warn"".",The teacher admonished students who hadn't completed their homework.,Latin
adulterous,Uncommon,,Characterized by or involving adultery.,,"From Latin adulterare 'to corrupt', from ad- 'towards' + alterare 'to alter'.",,Latin
adventitious,Exotic,adjective,Coming from outside; not native; associated by chance rather than design.,Arising from an external source rather than inherent causes.,"From Latin adventicius ""coming from abroad"", from adventus, past participle of advenire ""to come to"".",The adventitious discovery of penicillin revolutionized medicine.,Latin
aegis,Rare,noun,"The protection, backing, or support of a particular person or organization.",,"From Greek aigis, the shield of Zeus or Athena.",The project proceeded under the aegis of the National Science Foundation.,Greek
affective,Rare,adjective,"Relating to moods, feelings, and attitudes.",,"From Latin affect- ""influenced, affected"", from the verb afficere, from ad- ""to"" + facere ""to make"".",The therapy focused on affective responses to traumatic memories.,Latin
alacrity,Rare,noun,Brisk and cheerful readiness.,,"From Latin alacritas, from alacer ""brisk, lively"".",She accepted the challenging assignment with alacrity.,Latin
altruism,Uncommon,,Disinterested and selfless concern for the well-being of others.,,"From French altruisme, from Italian altrui 'somebody else', from Latin alteri huic 'to this other'.",,French/Italian/Latin
ambivalent,Rare,adjective,Having mixed feelings or contradictory ideas about something or someone.,,"From Latin ambi- ""both"" + valentia ""strength"", from valere ""be strong"".","She felt ambivalent about the job offer, seeing both advantages and drawbacks.",Latin
amble,Uncommon,verb,"Walk or move at a slow, relaxed pace.",,Old French ambler 'to walk as a horse does.',They amble along the riverbank.,French
amorphous,Rare,adjective,Without a clearly defined shape or form.,,"From Greek amorphos ""shapeless"", from a- ""without"" + morphē ""form"".",The amorphous blob slowly took shape as the artist refined the sculpture.,Greek
ample,Uncommon,,Enough or more than enough; plentiful.,,"From French ample, from Latin amplus 'large, abundant'.",,Latin
anachronistic,Rare,adjective,belonging to a period other than that being portrayed,Belonging to a period other than that being portrayed.,"From Greek anakhronismos, from ana- ""against"" + khronos ""time"".",The film contained anachronistic elements like modern slang in a medieval setting.,Greek
