word,form,definition,etymology,example,origin
quixotic,adjective,Exceedingly idealistic; unrealistic and impractical.,"From Don Quixote, the hero of a romance by Cervantes, noted for his idealism and chivalrous but impractical behavior.",His plans to build a utopia were as quixotic as they were ambitious.,Other
circumscribe,verb,Restrict (something) within limits.,"From Latin circumscribere, from circum ‘around’ + scribere ‘write’.",The rules circumscribe the powers of the committee.,Latin
ephemeral,adjective,Lasting for a very short time.,From Greek ephēmeros ‘lasting only a day’.,Fame in the world of pop music can be ephemeral.,Greek
obfuscate,verb,"To render obscure, unclear, or unintelligible.","From Latin obfuscat-, ‘darkened’, from the verb obfuscare.",The report was written in a way that would obfuscate the real issues.,Latin
sagacious,adjective,Having or showing keen mental discernment and good judgment; wise or shrewd.,"From Latin sagax, sagac- ‘wise’.",The sagacious leader guided the country through difficult times.,Latin
mellifluous,adjective,(Of a voice or words) sweet or musical; pleasant to hear.,"From Latin mellifluus, from mel ‘honey’ + fluere ‘to flow’.",She spoke in a mellifluous voice that captivated the audience.,Latin
ineffable,adjective,Too great or extreme to be expressed or described in words.,"From Latin ineffabilis, from in- ‘not’ + effabilis ‘able to be expressed’.",The beauty of the sunset was ineffable.,Latin
soporific,adjective,Tending to induce drowsiness or sleep.,"From French soporifique, from Latin sopor ‘sleep’.",The professor's soporific lecture made it hard to stay awake.,Latin
vociferous,adjective,Vehement or clamorous.,"From Latin vociferari, from vox ‘voice’ + ferre ‘carry’.",The vociferous crowd cheered for their team.,Latin
equanimity,noun,"Mental calmness, composure, and evenness of temper, especially in a difficult situation.","From Latin aequanimitas, from aequus ‘equal’ + animus ‘mind’.",She accepted the bad news with remarkable equanimity.,Latin
sycophant,noun,A person who acts obsequiously toward someone important in order to gain advantage.,"From Greek sukophantes, originally ‘informer’.",The office sycophant was always flattering the boss.,Greek
taciturn,adjective,Reserved or uncommunicative in speech; saying little.,"From Latin taciturnus, from tacere ‘be silent’.","He was a taciturn man, but his actions spoke volumes.",Latin
quandary,noun,A state of perplexity or uncertainty over what to do in a difficult situation.,"Origin unknown, first recorded in the late 16th century.",She was in a quandary about whether to accept the offer.,Other
enervate,verb,To cause (someone) to feel drained of energy; weaken.,"From Latin enervatus, from e- (variant of ex-) ‘out of’ + nervus ‘sinew’.",The hot sun enervated her to the point of collapse.,Latin
intransigent,adjective,Unwilling or refusing to change one's views or to agree about something.,"From French intransigeant, from Spanish intransigente.",The negotiations broke down due to both sides being intransigent.,French
ubiquitous,adjective,"Present, appearing, or found everywhere.","From modern Latin ubiquitas, from Latin ubique ‘everywhere’.",Smartphones have become ubiquitous in modern society.,Latin
vicissitude,noun,"A change of circumstances or fortune, typically one that is unwelcome or unpleasant.","From Latin vicissitudo, from vicissim ‘by turns’.",He endured the vicissitudes of a turbulent career.,Latin
zephyr,noun,A soft gentle breeze.,"From Greek Zephuros, god of the west wind.",A zephyr cooled the hot summer air.,Greek
apocryphal,adjective,"(Of a story or statement) of doubtful authenticity, although widely circulated as being true.",From Greek apokruphos ‘hidden’.,The story of the haunted house is probably apocryphal.,Greek
demagogue,noun,A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument.,"From Greek dēmagōgos, from dēmos ‘people’ + agōgos ‘leading’.",The demagogue stirred up the crowd with fiery rhetoric.,Greek
fastidious,adjective,Very attentive to and concerned about accuracy and detail.,"From Latin fastidiosus, from fastidium ‘loathing’.",He chooses his words with fastidious care.,Latin
garrulous,adjective,"Excessively talkative, especially on trivial matters.","From Latin garrulus, from garrire ‘to chatter’.",The garrulous host kept the guests entertained all night.,Latin
harangue,noun,A lengthy and aggressive speech.,"From Italian aringa, from aringare ‘to speak in public’.",He delivered a harangue about the evils of the media.,Italian
iconoclast,noun,A person who attacks cherished beliefs or institutions.,"From Greek eikonoklastēs, from eikōn ‘image’ + klan ‘to break’.",The artist was known as an iconoclast in the art world.,Greek
juxtapose,verb,To place or deal with close together for contrasting effect.,"From French juxtaposer, from Latin juxta ‘next’ + French poser ‘to place’.",The exhibition juxtaposes modern art with classical sculpture.,Latin
lucid,adjective,Expressed clearly; easy to understand.,"From Latin lucidus, from lucere ‘shine’.",She gave a lucid account of the events.,Latin
nefarious,adjective,(Typically of an action or activity) wicked or criminal.,"From Latin nefarius, from nefas ‘wrong, crime’.",The nefarious activities of the organized-crime syndicates were widely reported.,Latin
paragon,noun,A person or thing regarded as a perfect example of a particular quality.,"From Old French paragon, from Italian paragone ‘touchstone’.",She is a paragon of virtue.,French
rancor,noun,"Bitterness or resentfulness, especially when long-standing.",From Latin rancor ‘rankness’.,She answered her accusers calmly and without rancor.,Latin
tantamount,adjective,Equivalent in seriousness to; virtually the same as.,From Italian tanto ‘so much’ + ammontare ‘to amount to’.,His silence was tantamount to an admission of guilt.,Italian
wheedle,verb,To employ endearments or flattery to persuade someone to do something or give one something.,"Of uncertain origin, perhaps from Old English.",She managed to wheedle another piece of cake from her mother.,Old English
yokel,noun,An uneducated and unsophisticated person from the countryside.,"Of unknown origin, first recorded in the 19th century.",The city folk looked down on the yokel.,Other
zealot,noun,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.","From Greek zēlōtēs, from zēlos ‘zeal’.",He was a zealot for environmental causes.,Greek
capitulate,verb,Cease to resist an opponent or an unwelcome demand; surrender.,"From Latin capitulatus, from capitulum ‘chapter, heading’.",The enemy was forced to capitulate unconditionally.,Latin
deleterious,adjective,Causing harm or damage.,From Greek dēlētērios ‘noxious’.,Divorce is assumed to have deleterious effects on children.,Greek
effrontery,noun,Insolent or impertinent behavior.,"From French effronterie, from effronté ‘shameless’.",He had the effrontery to challenge the decision.,French
hapless,adjective,(Especially of a person) unfortunate.,From Old Norse happ ‘good luck’.,The hapless passengers were stranded at the airport.,Norse
kaleidoscope,noun,A constantly changing pattern or sequence of objects or elements.,From Greek kalos ‘beautiful’ + eidos ‘form’ + skopein ‘to look at’.,The city lights formed a kaleidoscope of colors.,Greek
misanthrope,noun,A person who dislikes humankind and avoids human society.,"From Greek misanthrōpos, from misein ‘to hate’ + anthrōpos ‘man’.",The old man was a misanthrope who lived alone.,Greek
neophyte,noun,"A person who is new to a subject, skill, or belief.",From Greek neophutos ‘newly planted’.,"As a neophyte, she still had much to learn.",Greek
panacea,noun,A solution or remedy for all difficulties or diseases.,"From Greek panakeia, from pan ‘all’ + akos ‘remedy’.",There is no single panacea for the world's economic problems.,Greek
